,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons
capacity_factor_bucket,,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
capacity_mw_bucket,year,,,,,,,,,,,,,,,,,,,,
0150-0299,2030,1.2664925203119066,1.3579062675161881,0.7017733298233042,0.9406637142944849,2.747677111562314,1.6016276725705576,0.4474532877542417,3.036002529176029,0.3601502874883395,1.2609256095444015,2.3252800604451593,0.7631351273029235,1.610063040891204,1.2563139267699732,0.618779358468317,4.428266358050591,14.001535904083532,0.0,0.0,0.0
0150-0299,2035,0.8578700179204951,0.9677153295143041,0.9053015775977986,0.0,1.5565342174123755,0.6405282066413063,1.4532112700889677,1.1777196874460465,0.0,1.384662809045665,3.4743988767947593,1.1612288345691768,0.5579626663255233,2.1661633810374648,0.0,0.768383648433834,11.054852818810488,0.0,0.0,0.0
0150-0299,2040,0.2651408668353106,1.5688298710768092,0.44416866471322625,0.5945674215275017,0.6426534406564562,1.0979583435254008,0.4422784262052606,0.9071929976652198,1.4196621191868464,0.5558455733720075,3.02149934202198,1.168730340889712,0.0,1.2733333077428437,0.0,0.0,7.852405300920019,0.0,0.0,0.0
0150-0299,2045,0.3682283066396681,1.161968295465544,0.633898976679405,0.37811088652832914,1.4923700305214924,1.490866492858966,0.7939126619881967,0.7133832024054427,0.24169747793341442,0.2660396444738944,1.5755467951321287,0.5423095796459901,0.3526033865267805,0.669826758702846,0.7297174522638102,0.0,3.8444273226408208,0.0,0.0,0.0
0150-0299,2050,0.3299612775699707,1.022827836085338,0.4215558995928961,0.26738388089677684,1.2774535288204327,1.0383049534771847,0.2990822817347972,1.9452198020168474,0.7856468924985798,1.1486653484771485,1.2766596897809275,0.5832837758668851,0.4817274926992482,0.0,0.7481571652965878,0.0,2.312843450092001,0.0,0.0,0.0
0150-0299,2055,0.2207933351655708,1.21208709489121,0.8551722889215245,0.26766812709822635,0.711904361118668,1.6070124175959688,0.29619990304507804,2.031610806394269,0.33207748516879354,1.6510962765466326,1.6734635514957739,0.42273310857986085,0.0,0.0,0.0,0.0,3.2012044633904106,0.0,0.0,0.0
0300-0599,2028,3.0279265157033977,2.276787569082571,3.005995771470145,2.589836942509544,4.85816675098363,2.662834808914458,2.1795488639649077,5.835485338527458,6.109012997468951,3.6782411413579097,4.805003294799251,7.292479711883062,3.433155908249142,3.5166814001314872,7.589197317548038,22.076394056096618,81.50876207954425,0.0,0.0,0.0
0300-0599,2030,2.6966584210697215,2.5891084886730726,4.019734016675584,1.024820210424449,4.45229725244923,4.6747498745724885,5.577525811140854,6.521738702583974,2.6523500151816055,4.593498796228058,3.8400291975435996,2.6991738136345558,4.066241573197155,6.859463885522891,5.500881557755942,10.41917409020368,99.99371590915803,0.0,0.0,0.0
0300-0599,2035,1.6947209003313077,2.863648765301692,1.7949334172205873,2.1348856817133495,2.202372184377556,6.90339406525114,2.694780426081082,2.97535923448906,4.148415276546527,9.097735750418833,11.420719354606923,3.234731629067677,3.6904792908427564,7.692414395347141,8.13084521220893,12.266707195357997,42.72811140025059,0.0,0.0,0.0
0300-0599,2040,1.3280216699618737,3.574499910440811,1.1602125047471512,1.125183711366793,2.3624092951283786,4.968923630434169,1.7527434885013005,2.4446117621075496,7.150843708892516,8.98878452916508,10.821965941383281,9.084178365336317,0.0,7.516478939052,2.5742353737722024,1.3929782234030867,34.90431938417654,0.0,0.0,0.0
