,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,integrated_proposal,proposal,integrated_proposal,proposal
capacity_mw_bucket,year,,,,,,
3600+,2050,-0.1706142766399389,0.20551946781452357,-0.170614276639938,0.20551946781452402,-0.1701748669851776,0.20551946781452402
3600+,2055,-0.0805231032880176,0.42623816024871397,-0.08052310328801815,0.4262381602487171,-0.08003596321029005,0.4262381602487171
New,2028,0.1412210471583153,0.10007747807634937,0.14439242627753934,0.1019111620310269,0.012143559399246717,0.009636038868251262
New,2030,0.15999975301492864,0.13385164607322708,0.16308974929347553,0.12300955349692821,0.060867786146309166,0.053156844812954684
New,2035,-0.11725509633557796,-0.16341954379341028,-0.04968428009867565,-0.18484747863533024,-0.13636282235897002,-0.2048485508935115
New,2040,-0.3371753801315276,-0.16427942657482064,-0.26547246226269605,-0.17849990046758824,-0.07313044833111493,-0.08416164393186465
New,2045,-0.25491007145810396,-0.1351441317838894,-0.1854714552856338,-0.14763920655209484,0.13892763585884382,0.053878297634686545
New,2050,-0.2045630079738774,-0.13072686457639848,-0.15534961677025882,-0.14790994190604012,0.15253773845348184,0.06725616533717194
New,2055,-0.21051030133351523,-0.18572825300225893,-0.1838367810179823,-0.21049542937015098,0.22423485421406508,0.10116486911896994
total,2028,0.004247054142362039,0.0035513607295343252,0.007410720106395985,0.0053367598904141555,-0.008494660429616108,-0.0018730300274865108
total,2030,0.08668716397141951,0.08863258790329698,0.07133918673595341,0.06982087883217725,0.08052742836220061,0.09027730041459825
total,2035,-0.016897082472383418,0.009593254614785884,-0.03330335335052814,-0.009389596488887708,0.204491663726019,0.0007454852438846249
total,2040,-0.02875247041056672,-0.0008365407639622235,-0.05366410765040597,-0.02478259401086913,0.2785835565787109,-0.003380511544011422
total,2045,-0.013165146745494405,-0.00033522865875013075,-0.01960579116527883,-0.006119706072125863,0.3374991809688961,0.04517362231748234
total,2050,-0.02158151026086841,0.0070316513440062955,-0.032992205698877286,-0.006304638706632559,0.2878816714370125,0.04197392834248537
total,2055,-0.015132861327950109,-0.004353985649668601,-0.02851545072536632,-0.020255464234867904,0.3033397677370562,0.06724008737650977
