,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,integrated_proposal,proposal,integrated_proposal,proposal
fuel_cat,year,,,,,,
natural_gas,2040,-0.02875247041056672,-0.0008365407639622235,-0.05366410765040597,-0.02478259401086913,0.2785835565787109,-0.003380511544011422
natural_gas,2045,-0.013165146745494405,-0.00033522865875013075,-0.01960579116527883,-0.006119706072125863,0.3374991809688961,0.04517362231748234
natural_gas,2050,-0.02158151026086841,0.0070316513440062955,-0.032992205698877286,-0.006304638706632559,0.2878816714370125,0.04197392834248537
natural_gas,2055,-0.015132861327950109,-0.004353985649668601,-0.02851545072536632,-0.020255464234867904,0.3033397677370562,0.06724008737650977
nonfossil_nonren,2028,-0.034430790816664,-0.03852632886404972,-0.021534340057574708,-0.027755691992509712,-0.004096916382544502,-0.008133000575926475
nonfossil_nonren,2030,0.008994762995163885,0.00434054478207857,0.006998885588881176,7.281107935419584e-05,0.012423469475032256,0.010988994375702443
nonfossil_nonren,2035,-0.0007087861991208477,-0.005972705083888696,0.0007089601672751744,-0.006945372146054174,0.006790523208989319,0.006894095173244352
nonfossil_nonren,2040,0.006387549813969162,-0.0040727910072805296,0.009351997931749345,-0.0031513606726407684,0.011690764648383256,0.021010474192869166
nonfossil_nonren,2045,0.007665785462145802,0.001344687517555565,0.009979366724074623,0.0008430196875739426,0.011785596954801525,0.011869121458444543
nonfossil_nonren,2050,0.01738823686139912,-0.0028393251869567315,0.018901877643334508,-0.002783492018213485,0.01764429403694545,0.011060091345948875
nonfossil_nonren,2055,0.015947813649473286,-0.000981802044318525,0.01718648398017919,-0.0016573356770492875,0.013253496527316333,0.01008135047271419
nuclear,2028,,,0.0,0.0,0.0,0.0
nuclear,2030,,,0.0,0.0,0.0,0.0
nuclear,2035,,,0.0009997638199770176,0.00013679208000905163,0.0008278821426861427,0.00011318512082092447
nuclear,2040,,,0.004038780264894903,0.0006908459035688264,0.00350649497609834,0.0005845426612338667
nuclear,2045,,,0.0005994716801458466,6.507608709571677e-05,0.0005238683092387841,-0.0003933281065363614
nuclear,2050,,,0.007599598758873727,0.00013495186058154474,0.006196730805432926,0.00013010531752488674
nuclear,2055,,,0.005553364982963771,-0.006561944751090176,0.005476272714511454,-0.008102181270705389
oil,2028,-0.03709070717058105,0.00989254818415275,-0.022379471270225326,0.013887576724374462,-0.14724907555434708,0.09089762840139048
oil,2030,-0.14433008165774486,-0.13792695129987353,-0.14101331666215855,-0.1347632470429746,-0.017822530604156284,-0.012415179633188611
oil,2035,-0.44265963548166054,-0.5234487216743555,-0.4755649775960218,-0.5500556194396984,-0.3756814798844431,-0.47011182840374477
oil,2040,-0.02510686256598993,0.0,-0.025721803804499843,0.0,-0.18886568659353442,0.0
oil,2045,-0.2163843599141413,-0.019032329313913632,-0.2105827226165654,-0.016044824099022303,-0.2361109180246478,-0.03869908595879257
oil,2050,,,,,,
oil,2055,,,,,,
renewables,2028,,,-0.0017347185395074627,-0.00011336401716321998,0.0035187398025504635,0.0016749388294394763
renewables,2030,,,0.006535338040376315,0.006350030803215612,0.005804404858722689,0.004535653965876518
renewables,2035,,,-0.006812371962324315,0.0008162501167465752,-0.009366045670280765,-0.005566518689347766
renewables,2040,,,0.004461276233679978,-0.005066170783970758,0.0008192877868546944,-0.002081114750352442
renewables,2045,,,0.004963251748893782,0.003336730607348626,0.0006314610166149315,0.0006475408597681476
renewables,2050,,,0.0009042928140623463,-0.001777513721018087,-0.0012193168935540344,0.0007826230591110317
renewables,2055,,,-0.00015352180952321604,0.0024468342510406416,0.00020726573274609805,-0.0013113762714364041
total,2028,-0.010804350274360774,-0.00828056180251524,-0.0008863320561068866,-0.0007088714275866881,-0.007095403475952278,-0.004305719949358355
total,2030,-0.09548000837232229,-0.09178915767640239,-0.0009992134527277985,-0.0010141432764125824,0.014720896041845899,0.01883881929889708
total,2035,-0.08324648275844937,-0.06035481624890948,-0.0045174435990242845,-0.0027708403142753246,0.04568524254537909,0.0032189023536133288
total,2040,-0.07445578557931143,-0.04921107871205899,-0.004017564694424491,-0.0036097784062425475,0.05767645656356857,0.0069689170908271425
total,2045,-0.05843172865676605,-0.04728917348114048,-0.001503542518594525,-0.0007182275781928427,0.0532186795535603,0.013441708935328478
total,2050,-0.030652364984148583,-0.005549825800780561,-0.002004004848072616,-0.0008952785492555293,0.03930975262358749,0.01160323450273859
total,2055,-0.03339007981322539,-0.024426234869241226,-0.002239330261338268,8.654543531161352e-05,0.04170393685003693,0.013006908652663407
